,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
1390,Single family residence,Built in 1915,"1 Unit, forced air, natural gas","1 Unit, central air",1 Garage space,"6,098 sqft",,,38722942
1391,Single family residence,Built in 1920,"Forced air, natural gas","Central a/c, electric",Open parking,"6,969 sqft",$218 price/sqft,,38069769
1392,Single family residence,Built in 1925,"Radiator, natural gas","Central a/c, electric",2 Garage spaces,0.29 Acres,$174 price/sqft,,2060682246
1393,Single family residence,Built in 1971,"Forced air, natural gas","Central a/c, electric",2 Attached garage spaces,2.69 Acres,$161 price/sqft,,38318583
1394,Single family residence,Built in 1930,1 Unit,No data,4 Parking spaces,"5,227 sqft",$192 price/sqft,,39428667
1395,Adult community,Built in 1970,"Forced air, baseboard",Central air,1 Attached garage space,"6,969 sqft",$336 price/sqft,,39532111
1396,Stock cooperative,,"Natural gas, hot water","Gas, central air, zoned",See remarks,,,,2061469414
1397,Single family residence,,"Forced air, baseboard",Central air,2 Attached garage spaces,0.51 Acres,$527 price/sqft,,39237101
1398,Multi family,Built in 1918,Radiators-steam,None,2 Attached garage spaces,,$219 price/sqft,,39046676
1399,Townhouse,Built in 1918,"Forced air, natural gas","Central a/c, electric",Open parking,"3,690 sqft",$176 price/sqft,,38196155
1400,Single family residence,,"Baseboard, electric","Electric, wall unit(s), window unit(s)",Attached garage,No data,,2% buyers agency fee,37942882
1401,Single family residence,Built in 1935,"Forced air, natural gas","Central a/c, natural gas",Open parking,"5,101 sqft",$178 price/sqft,,38279184
1402,Single family residence,,"1 Unit, natural gas",No data,2 Garage spaces,"5,000 sqft",,,38753607
1403,"Duplex, single family residence",Built in 1907,"1 Unit, radiators - hot water, see remarks, natural gas",Window unit(s),Open parking,"2,613 sqft",$257 price/sqft,,37903382
1404,Single family residence,Built in 2005,"Forced air, natural gas",Central air,2 Attached garage spaces,"8,050 sqft",,,68296165
1405,Single family residence,Built in 1937,"1 Unit, radiators - steam, natural gas",Wall unit(s),1 Garage space,"4,791 sqft",,,38023241
1406,Single family residence,Built in 1951,"Radiant, baseboard hotwater",Window unit(s),2 Garage spaces,"9,601 sqft",$372 price/sqft,,39079326
1407,Single family residence,Built in 1750,"1 Unit, baseboard - hotwater, natural gas",Central air,2 Garage spaces,2.10 Acres,$218 price/sqft,,39867648
1408,Single family residence,Built in 1930,"Radiators - steam, natural gas",Window unit(s),1 Open parking space,54.78 Acres,,,37875771
1409,Single family residence,Built in 1962,"1 Unit, zoned, natural gas",Window unit(s),2 Attached garage spaces,3.20 Acres,,,39443734
1410,Single family residence,Built in 1950,"Forced air, oil, natural gas available","Central a/c, electric",2 Open parking spaces,"7,500 sqft",$152 price/sqft,,38828885
1411,Single family residence,Built in 1940,"Wood stove, other, oil","Central a/c, electric",2 Garage spaces,0.38 Acres,$292 price/sqft,,38136791
1412,Condominium,Built in 1977,"Electric, heat pump",Central air,2 Attached garage spaces,,,,2060693330
1413,Condominium,Built in 1973,"90% forced air, natural gas","Central a/c, electric",Parking lot,,$137 price/sqft,,2060673824
1414,Single family residence,Built in 1960,Forced air,Central air,Open parking,"4,791 sqft",$344 price/sqft,,39347072
1415,Single family residence,Built in 1920,Oil above ground,None,1 Garage space,0.44 Acres,$212 price/sqft,,2097713640
1416,Single family residence,,"Radiators - hot water, natural gas",Window unit(s),1 Attached garage space,0.26 Acres,$167 price/sqft,,39495690
1417,Single family residence,Built in 1966,"Forced air, natural gas","Central a/c, electric",2 Garage spaces,No data,$170 price/sqft,,38129308
1418,Single family residence,Built in 2022,Natural gas,"2 Units, central air",2 Attached garage spaces,0.36 Acres,,,2062547476
1419,Multi family,,"Natural gas, hot water","Gas, wall unit(s), window unit(s)",Garage,,,,39721110
1420,Single family residence,Built in 1900,"Radiator, natural gas","Ceiling fan(s), central a/c, programmable thermostat, electric",2 Garage spaces,No data,$87 price/sqft,,39816210
1421,Single family residence,Built in 1953,"Baseboard - hotwater, natural gas",Window unit(s),2 Garage spaces,"3,920 sqft",,,38657176
1422,Adult community,Built in 1998,Forced air,Central air,2 Attached garage spaces,"6,534 sqft",$206 price/sqft,,39671326
1423,Multi family,Built in 2005,"2 Units, forced air, natural gas","2 Units, central air",2 Attached garage spaces,,,,79891010
1424,Single family residence,Built in 1970,"Forced air, natural gas","Central a/c, electric",2 Attached garage spaces,0.79 Acres,$303 price/sqft,,39036211
1425,Single family residence,Built in 1996,"Forced air, natural gas","Central a/c, ceiling fan(s), electric",4 Open parking spaces,1.36 Acres,$169 price/sqft,,37794477
1426,Single family residence,,Hot water,No data,1 Attached garage space,"1,980 sqft",$455 price/sqft,,38946409
1427,Single family residence,Built in 1960,Forced air,"Central air, wall unit(s)",Attached garage,0.31 Acres,$293 price/sqft,,39151215
1428,Single family residence,Built in 1929,"1 Unit, radiators - steam, natural gas","2 Units, wall unit(s), window unit(s)",1 Garage space,"6,969 sqft",,,38654653
1429,Single family residence,Built in 1972,"Forced air, oil",Central a/c,2 Attached garage spaces,1.35 Acres,$256 price/sqft,,38773146
1430,Single family residence,Built in 1917,"90% forced air, natural gas","Wall unit(s), electric",1 Open parking space,"6,538 sqft",$129 price/sqft,,39814407
1431,Single family residence,Built in 1970,Baseboard,Central air,Open parking,0.28 Acres,$347 price/sqft,,39521174
1432,Single family residence,,"Baseboard, natural gas, forced air, zoned","Gas, zoned, central air",Attached garage,No data,,,38058316
1433,Single family residence,,"Natural gas, radiators, steam",No data,1 Parking space,"5,000 sqft",,,38921554
1434,Single family residence,Built in 2016,"1 Unit, forced air, natural gas","1 Unit, central air",1 Attached garage space,"4,356 sqft",,,40020475
1435,Single family residence,Built in 1928,"1 Unit, heat pump, electric","2 Units, central air, heat pump",2 Garage spaces,"8,276 sqft",,,38688857
1436,Single family residence,Built in 2001,"Zoned, forced air","Central air, ceiling fan(s), zoned",2 Attached garage spaces,"7,480 sqft",$224 price/sqft,,64920677
1437,Single family residence,Built in 1942,"Forced air, oil",None,Open parking,"3,999 sqft",$125 price/sqft,,38982392
1438,Condominium,Built in 2015,Forced air,Central air,No data,,$348 price/sqft,,178430480
1439,"Adult community, mobile home",Built in 1983,"Oil above ground, forced air",Central air,2 Open parking spaces,,,,2060965914
1440,Multi family,Built in 1922,"2 Units, baseboard - hotwater, natural gas",Ceiling fan(s),2 Garage spaces,,,,2061450315
1441,Single family residence,Built in 2003,"Electric, forced air",Central air,2 Garage spaces,No data,,,118629748
1442,Single family residence,Built in 2001,"Forced air, fireplace(s), gas",Central air,4 Garage spaces,0.90 Acres,$93 price/sqft,,34595243
1443,Singlefamily,Built in 1984,"Other, gas",Central,2 Parking spaces,"9,147 sqft",$145 price/sqft,,34996141
1444,Single family residence,Built in 1957,Forced air,Central air,2 Attached garage spaces,"8,450 sqft",$80 price/sqft,,34295391
1445,Single family residence,Built in 2001,"Fireplace(s), gas",Central air,2 Attached garage spaces,0.65 Acres,$127 price/sqft,,35143320
1446,Single family residence,Built in 1950,"Forced air, natural gas","Ceiling fan(s), central air",1 Garage space,"8,712 sqft",$105 price/sqft,,33225200
1447,Single family residence,Built in 1992,"Forced air, natural gas",Central air,2 Garage spaces,"10,497 sqft",$205 price/sqft,,34422799
1448,Single family residence,Built in 1953,"Forced air, gas",Central air,1 Attached garage space,3.75 Acres,,,33586127
1449,Single family residence,Built in 1984,"Electric, heat pump",Central air,2 Attached garage spaces,0.31 Acres,$125 price/sqft,,33987956
1450,Single family residence,Built in 1936,"Electric, program thermostat","Ceiling fan(s), central air",Open parking,"5,793 sqft",$171 price/sqft,,34236348
1451,Singlefamily,Built in 1990,"Forced air, gas",Central,2 Parking spaces,0.61 Acres,$55 price/sqft,,78449974
1452,Single family residence,Built in 1880,"Forced air, oil",Central air,3 Attached garage spaces,5 Acres,$158 price/sqft,,35277144
1453,Single family residence,Built in 1997,"Forced air, natural gas",Central air,2 Garage spaces,"2,047 sqft",$125 price/sqft,,34236755
1454,Single family residence,Built in 1956,"Forced air, gas",Central air,2 Attached garage spaces,0.97 Acres,$130 price/sqft,,33459678
1455,Single family residence,Built in 1956,None,None,1 Garage space,1 Acres,$62 price/sqft,,35618795
1456,Single family residence,Built in 1927,"Forced air, natural gas",Central air,1 Garage space,"7,501 sqft",$72 price/sqft,2.75% buyers agency fee,34640697
1457,Single family residence,Built in 1920,"Forced air, natural gas",Central air,Open parking,"1,089 sqft",$261 price/sqft,,34221270
1458,Singlefamily,Built in 1918,Baseboard,Central,No data,"6,098 sqft",$79 price/sqft,,34922670
1459,Single family residence,Built in 1926,"Forced air, gas",Central air,2 Garage spaces,0.41 Acres,$67 price/sqft,,34801206
1460,Single family residence,Built in 1968,"Forced air, natural gas",Central air,2 Attached garage spaces,0.37 Acres,$146 price/sqft,,33918661
1461,Single family residence,Built in 1978,Natural gas,Central air,2 Attached garage spaces,"10,018 sqft",$186 price/sqft,,34112830
1462,Single family residence,Built in 1963,"Baseboard, gas, hot water, steam",Wall unit(s),2 Attached garage spaces,1.09 Acres,$95 price/sqft,,35526267
1463,Single family residence,Built in 1960,"Forced air, natural gas",Central air,2 Garage spaces,0.40 Acres,$117 price/sqft,,34338041
1464,Single family residence,Built in 1975,"Forced air, natural gas",Central air,2 Garage spaces,"10,454 sqft",$149 price/sqft,,35685461
1465,Single family residence,Built in 1989,"Forced air, gas","Attic fan, central air",2 Attached garage spaces,0.55 Acres,$75 price/sqft,,34801093
1466,Single family residence,Built in 1959,"Forced air, fireplace(s), gas",Central air,2 Attached garage spaces,0.77 Acres,$75 price/sqft,,33611508
1467,Single family residence,Built in 1968,Natural gas,Central air,2 Attached garage spaces,0.52 Acres,$177 price/sqft,,34042249
1468,Single family residence,Built in 1956,"Forced air, natural gas",Central air,Open parking,0.29 Acres,,,34352419
1469,Single family residence,Built in 1923,"Natural gas, hot water",Central air,2 Off street,"5,662 sqft",$198 price/sqft,,33862994
1470,Single family residence,Built in 1983,"Forced air, gas",Central air,2 Attached garage spaces,0.29 Acres,$131 price/sqft,,35713085
1471,Single family residence,Built in 1957,"Forced air, gas",Central air,1 Garage space,"8,250 sqft",,,34505635
1472,Single family residence,Built in 1999,"Forced air, gas",Central air,2 Attached garage spaces,0.44 Acres,$125 price/sqft,,35246549
1473,Single family residence,Built in 1972,"Forced air, gas",Central air,2 Attached garage spaces,0.46 Acres,$130 price/sqft,,35244313
1474,Single family residence,Built in 1960,"Forced air, gas",Window unit(s),2 Garage spaces,1.25 Acres,$108 price/sqft,,34611154
1475,"Duplex, multi family",Built in 1912,"Forced air, gas",None,3 Garage spaces,,$84 price/sqft,,33494931
1476,Single family residence,Built in 1987,"Forced air, heat pump","Ceiling fan(s), central air",3 Garage spaces,0.36 Acres,$113 price/sqft,,227512188
1477,Single family residence,Built in 1966,"Forced air, natural gas",Central air,2 Attached garage spaces,0.50 Acres,$130 price/sqft,3.00% buyers agency fee,33288958
1478,Single family residence,Built in 1869,"Boiler, radiant",Window unit(s),3 Garage spaces,3.33 Acres,$100 price/sqft,,33820692
1479,Single family residence,Built in 1978,"Forced air, gas, heat pump",Central air,2 Attached garage spaces,0.33 Acres,$133 price/sqft,,33589207
1480,Single family residence,Built in 1930,No data,Central air,Open parking,"3,484 sqft",$198 price/sqft,,33812520
1481,Singlefamily,Built in 1943,"Forced air, gas",None,1 Parking space,0.37 Acres,$163 price/sqft,,35608339
1482,Single family residence,Built in 2000,"Forced air, propane",Central air,4 Garage spaces,2.42 Acres,$152 price/sqft,3.00% buyers agency fee,107213262
1483,Single family residence,Built in 1956,"Forced air, gas",Central air,2 Attached garage spaces,0.48 Acres,$221 price/sqft,,35401467
1484,Single family residence,Built in 2001,"Forced air, natural gas",Central air,2 Attached garage spaces,"7,840 sqft",$193 price/sqft,,33737381
1485,Single family residence,Built in 1885,"Forced air, natural gas, steam",Window unit(s),Open parking,"7,753 sqft",$43 price/sqft,,34251341
1486,Single family residence,Built in 1918,"Forced air, natural gas",Central air,1 Garage space,"5,140 sqft",$162 price/sqft,,34426890
1487,Single family residence,Built in 2004,"Forced air, gas",Central air,3 Attached garage spaces,0.65 Acres,$200 price/sqft,,67330567
1488,Single family residence,Built in 1947,"Forced air, gas",Central air,1 Attached garage space,0.48 Acres,$79 price/sqft,,35387009
1489,Single family residence,Built in 1967,"Forced air, gas",Central air,2 Garage spaces,2.88 Acres,$187 price/sqft,,81723233
1490,Single family residence,Built in 1900,"Gas, forced air",Central air,"Off street, other",0.45 Acres,$120 price/sqft,2.5% buyers agency fee,35669041
1491,Single family residence,Built in 1971,"Forced air, gas",Central air,2 Attached garage spaces,"9,931 sqft",$124 price/sqft,,33473604
1492,Single family residence,Built in 1969,"Forced air, gas",Central air,4 Attached garage spaces,1.88 Acres,$216 price/sqft,,35380965
1493,Single family residence,Built in 1927,"Forced air, fireplace(s), gas",Window unit(s),1 Attached garage space,"3,998 sqft",$92 price/sqft,,96410724
1494,Single family residence,Built in 1983,Electric,Central air,1 Attached garage space,1 Acres,$292 price/sqft,,34026268
1495,"Condominium, multi family",Built in 1986,"Electric, forced air",Central air,1 Attached garage space,,$155 price/sqft,,134244766
1496,Single family residence,Built in 1942,"Forced air, gas",Central air,2 Garage spaces,0.35 Acres,$183 price/sqft,,33606350
1497,Single family residence,Built in 1977,"Electric, geothermal",Central air,2 Garage spaces,5.19 Acres,$200 price/sqft,,34915526
1498,Single family residence,Built in 1923,"Forced air, natural gas","Ceiling fan(s), central air",1 Garage space,"4,660 sqft",$225 price/sqft,,34232911
1499,Single family residence,Built in 2003,Natural gas,"Ceiling fan(s), central air",3 Attached garage spaces,8.41 Acres,$242 price/sqft,,118631051
1500,Single family residence,Built in 1993,"Forced air, natural gas",Central air,2 Attached garage spaces,2.62 Acres,$190 price/sqft,,33719608
1501,Single family residence,Built in 2005,"Forced air, natural gas","Central air, attic fan",3 Garage spaces,0.34 Acres,$223 price/sqft,2.5% buyers agency fee,91958709
1502,Singlefamily,Built in 1946,"Other, gas",Central,1 Parking space,"6,534 sqft",$136 price/sqft,,91969440
1503,Single family residence,Built in 1900,"Hot water, natural gas",Central air,2 Garage spaces,"8,799 sqft",$146 price/sqft,2.5% buyers agency fee,78978509
1504,Single family residence,Built in 1943,"Forced air, gas",None,1 Garage space,"5,400 sqft",$82 price/sqft,,35458732
1505,Single family residence,Built in 1961,"Forced air, gas",Central air,2 Garage spaces,"6,612 sqft",,,33522302
1506,Single family residence,Built in 2015,"Forced air, natural gas",Central air,2 Attached garage spaces,"8,276 sqft",$161 price/sqft,,124011978
1507,Single family residence,Built in 1940,"Electric, forced air, heat pump",Central air,Open parking,"9,147 sqft",$106 price/sqft,,227509827
